
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
XC7A100T-2FGG484C                U1                                 8   3     41  41   3 L20       284 0 B15_L14_N           (4-33-13)
XC7A100T-2FGG484C                U1                                 8   3     42  42   3 L21       285 0 B15_L10_N           (4-53-13)
XC7A100T-2FGG484C                U1                                 8   3     43  43   3 M13       299 0 B15_L20_P           (4-57-13)
XC7A100T-2FGG484C                U1                                 8   3     44  44   3 M15       301 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 8   3     45  45   3 M16       302 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 8   3     46  46   3 M17       303 0 B15_IO25            (4-69-13)
XC7A100T-2FGG484C                U1                                 8   3     47  47   3 M18       304 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 8   3     48  48   3 M20       306 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 8   3     49  49   3 M21       307 0 B15_L10_P           (4-54-13)
XC7A100T-2FGG484C                U1                                 8   3     50  50   3 N18       326 0 B15_L17_P           (4-41-13)
XC7A100T-2FGG484C                U1                                 8   3     51  51   3 N19       327 0 B15_L17_N           (4-40-13)
XC7A100T-2FGG484C                U1                                 8   3     52  52   3 N20       328 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 8   3     53  53   3 N21       329 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                 8   3     54  54   3 N22       330 0 B15_L15_P           (4-59-13)
XC7A100T-2FGG484C                U1                                 8   3     55  55   3 H17       215 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 8   3     56  56   3 M22       308 0 B15_L15_N           (4-60-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
XC7A100T-2FGG484C                U1                                 9   4      1   1   4 A17        61 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                 9   4      2   2   4 B14        80 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                 9   4      3   3   4 C21       109 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                 9   4      4   4   4 D18       128 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                 9   4      5   5   4 E15       147 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                 9   4      6   6   4 F22       176 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                 9   4      7   7   4 A13        57 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 9   4      8   8   4 A14        58 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 9   4      9   9   4 A15        59 0 B16_L9_P            (4-113-13)
XC7A100T-2FGG484C                U1                                 9   4     10  10   4 A16        60 0 B16_L9_N            (4-112-13)
XC7A100T-2FGG484C                U1                                 9   4     11  11   4 A18        62 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 9   4     12  12   4 A19        63 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 9   4     13  13   4 A20        64 0 B16_L16_N           (4-107-13)
XC7A100T-2FGG484C                U1                                 9   4     14  14   4 A21        65 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 9   4     15  15   4 B13        79 0 B16_L8_N            (4-144-13)
XC7A100T-2FGG484C                U1                                 9   4     16  16   4 B15        81 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 9   4     17  17   4 B16        82 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 9   4     18  18   4 B17        83 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 9   4     19  19   4 B18        84 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 9   4     20  20   4 B20        86 0 B16_L16_P           (4-106-13)
XC7A100T-2FGG484C                U1                                 9   4     21  21   4 B21        87 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 9   4     22  22   4 B22        88 0 B16_L20_N           (4-99-13)
XC7A100T-2FGG484C                U1                                 9   4     23  23   4 C13       101 0 B16_L8_P            (4-145-13)
XC7A100T-2FGG484C                U1                                 9   4     24  24   4 C14       102 0 B16_L3_P            (4-139-13)
XC7A100T-2FGG484C                U1                                 9   4     25  25   4 C15       103 0 B16_L3_N            (4-138-13)
XC7A100T-2FGG484C                U1                                 9   4     26  26   4 C17       105 0 B16_L12_N           (4-141-13)
XC7A100T-2FGG484C                U1                                 9   4     27  27   4 C18       106 0 B16_L13_P           (856-1-13)
XC7A100T-2FGG484C                U1                                 9   4     28  28   4 C19       107 0 B16_L13_N           (856-2-13)
XC7A100T-2FGG484C                U1                                 9   4     29  29   4 C20       108 0 B16_L19_N           (4-104-13)
XC7A100T-2FGG484C                U1                                 9   4     30  30   4 C22       110 0 B16_L20_P           (4-98-13)
XC7A100T-2FGG484C                U1                                 9   4     31  31   4 D14       124 0 B16_L6_P            (4-125-13)
XC7A100T-2FGG484C                U1                                 9   4     32  32   4 D15       125 0 B16_L6_N            (4-124-13)
XC7A100T-2FGG484C                U1                                 9   4     33  33   4 D16       126 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 9   4     34  34   4 D17       127 0 B16_L12_P           (4-140-13)
XC7A100T-2FGG484C                U1                                 9   4     35  35   4 D19       129 0 B16_L14_N           (4-137-13)
XC7A100T-2FGG484C                U1                                 9   4     36  36   4 D20       130 0 B16_L19_P           (4-105-13)
XC7A100T-2FGG484C                U1                                 9   4     37  37   4 E13       145 0 B16_L4_P            (4-129-13)
XC7A100T-2FGG484C                U1                                 9   4     38  38   4 E14       146 0 B16_L4_N            (4-128-13)
XC7A100T-2FGG484C                U1                                 9   4     39  39   4 E16       148 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 9   4     40  40   4 E17       149 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 9   4     41  41   4 E18       150 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 9   4     42  42   4 E19       151 0 B16_L14_P           (4-136-13)
XC7A100T-2FGG484C                U1                                 9   4     43  43   4 F13       167 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 9   4     44  44   4 F14       168 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 9   4     45  45   4 F15       169 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 9   4     46  46   4 F16       170 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 9   4     47  47   4 F18       172 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 9   4     48  48   4 F19       173 0 B16_L18_P           (4-111-13)
XC7A100T-2FGG484C                U1                                 9   4     49  49   4 F20       174 0 B16_L18_N           (4-110-13)
XC7A100T-2FGG484C                U1                                 9   4     50  50   4 F21       175 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 9   4     51  51   4 D21       131 0 B16_L23_N           (4-95-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
XC7A100T-2FGG484C                U1                                 9   4     52  52   4 D22       132 0 B16_L22_N           (4-101-13)
XC7A100T-2FGG484C                U1                                 9   4     53  53   4 E21       153 0 B16_L23_P           (4-94-13)
XC7A100T-2FGG484C                U1                                 9   4     54  54   4 E22       154 0 B16_L22_P           (4-100-13)
XC7A100T-2FGG484C                U1                                 9   4     55  55   4 G21       197 0 B16_L24_P           (4-103-13)
XC7A100T-2FGG484C                U1                                 9   4     56  56   4 G22       198 0 B16_L24_N           (4-102-13)
XC7A100T-2FGG484C                U1                                10   5      1   1   5 R2        354 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5      2   2   5 R3        355 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5      3   3   5 R4        356 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5      4   4   5 R5        357 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                10   5      5   5   5 R6        358 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5      6   6   5 T1        375 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5      7   7   5 T2        376 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                10   5      8   8   5 T3        377 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5      9   9   5 T4        378 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     10  10   5 T5        379 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     11  11   5 T6        380 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     12  12   5 U1        397 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     13  13   5 U2        398 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     14  14   5 U3        399 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     15  15   5 U5        401 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     16  16   5 U6        402 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     17  17   5 U7        403 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     18  18   5 V2        420 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     19  19   5 V3        421 0 VTTREF              (95-15-13)
XC7A100T-2FGG484C                U1                                10   5     20  20   5 V4        422 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     21  21   5 V5        423 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     22  22   5 V6        424 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                10   5     23  23   5 V7        425 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     24  24   5 V8        426 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     25  25   5 V9        427 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     26  26   5 W1        441 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     27  27   5 W2        442 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     28  28   5 W3        443 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                10   5     29  29   5 W4        444 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     30  30   5 W5        445 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     31  31   5 W6        446 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     32  32   5 W7        447 0 VTTREF              (95-15-13)
XC7A100T-2FGG484C                U1                                10   5     33  33   5 W9        449 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     34  34   5 Y1        463 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     35  35   5 Y2        464 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     36  36   5 Y3        465 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     37  37   5 Y4        466 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     38  38   5 Y6        468 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     39  39   5 Y7        469 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     40  40   5 Y8        470 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     41  41   5 Y9        471 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     42  42   5 AA1         1 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     43  43   5 AA3         3 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     44  44   5 AA4         4 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     45  45   5 AA5         5 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     46  46   5 AA6         6 0                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
XC7A100T-2FGG484C                U1                                10   5     47  47   5 AA7         7 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                10   5     48  48   5 AA8         8 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     49  49   5 AB1        23 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     50  50   5 AB2        24 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     51  51   5 AB3        25 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     52  52   5 AB4        26 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                10   5     53  53   5 AB5        27 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     54  54   5 AB6        28 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     55  55   5 AB7        29 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                10   5     56  56   5 AB8        30 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6      1   1   6 C1         89 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                11   6      2   2   6 F2        156 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                11   6      3   3   6 H6        204 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                11   6      4   4   6 J3        223 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                11   6      5   5   6 M4        290 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                11   6      6   6   6 N1        309 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                11   6      7   7   6 F4        158 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                11   6      8   8   6 L6        270 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6      9   9   6 A1         45 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     10  10   6 B1         67 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     11  11   6 B2         68 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     12  12   6 C2         90 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     13  13   6 D1        111 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     14  14   6 D2        112 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     15  15   6 E1        133 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     16  16   6 E2        134 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     17  17   6 E3        135 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     18  18   6 F1        155 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     19  19   6 F3        157 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     20  20   6 G1        177 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     21  21   6 G2        178 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     22  22   6 G3        179 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     23  23   6 G4        180 0 CLK74M25_0_N        (1239-3-13)
XC7A100T-2FGG484C                U1                                11   6     24  24   6 H2        200 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     25  25   6 H3        201 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     26  26   6 H4        202 0 CLK74M25_0_P        (1239-2-13)
XC7A100T-2FGG484C                U1                                11   6     27  27   6 H5        203 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     28  28   6 J1        221 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     29  29   6 J2        222 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     30  30   6 J4        224 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     31  31   6 J5        225 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     32  32   6 J6        226 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     33  33   6 K1        243 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     34  34   6 K2        244 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     35  35   6 K3        245 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     36  36   6 K4        246 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     37  37   6 K6        248 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     38  38   6 L1        265 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     39  39   6 L3        267 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     40  40   6 L4        268 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     41  41   6 L5        269 0                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
XC7A100T-2FGG484C                U1                                11   6     42  42   6 M1        287 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     43  43   6 M2        288 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     44  44   6 M3        289 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     45  45   6 M5        291 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     46  46   6 M6        292 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     47  47   6 N2        310 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     48  48   6 N3        311 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     49  49   6 N4        312 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     50  50   6 N5        313 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     51  51   6 P1        331 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     52  52   6 P2        332 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     53  53   6 P4        334 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     54  54   6 P5        335 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     55  55   6 P6        336 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                11   6     56  56   6 R1        353 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                12   7      1   1   7 F12       166 0 3V3_VCCO            (376-4-13)
XC7A100T-2FGG484C                U1                                12   7      2   2   7 T12       386 0 3V3_VCCO            (376-4-13)
XC7A100T-2FGG484C                U1                                12   7      3   3   7 E12       144 0 1V8                 (95-20-13)
XC7A100T-2FGG484C                U1                                12   7      4   4   7 G11       187 0 $6N611              (95-10-13)
XC7A100T-2FGG484C                U1                                12   7      5   5   7 K9        251 0 AGND                (95-13-13)
XC7A100T-2FGG484C                U1                                12   7      6   6   7 L12       276 0 SPI_SCK             (95-8-13)
XC7A100T-2FGG484C                U1                                12   7      7   7   7 N9        317 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                12   7      8   8   7 N10       318 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                12   7      9   9   7 N12       320 0 PROG_B              (95-11-13)
XC7A100T-2FGG484C                U1                                12   7     10  10   7 R13       365 0 TDI                 (2-32-13)
XC7A100T-2FGG484C                U1                                12   7     11  11   7 T13       387 0 TMS                 (2-30-13)
XC7A100T-2FGG484C                U1                                12   7     12  12   7 U8        404 0 3V3_VCCO            (376-4-13)
XC7A100T-2FGG484C                U1                                12   7     13  13   7 U9        405 0 M2                  (695-4-13)
XC7A100T-2FGG484C                U1                                12   7     14  14   7 U10       406 0 M1                  (695-3-13)
XC7A100T-2FGG484C                U1                                12   7     15  15   7 U11       407 0 M0                  (695-2-13)
XC7A100T-2FGG484C                U1                                12   7     16  16   7 U12       408 0 INIT                (95-12-13)
XC7A100T-2FGG484C                U1                                12   7     17  17   7 U13       409 0 TDO                 (2-31-13)
XC7A100T-2FGG484C                U1                                12   7     18  18   7 V12       430 0 TCK                 (2-33-13)
XC7A100T-2FGG484C                U1                                12   7     19  19   7 K10       252 0 AVCC                (95-14-13)
XC7A100T-2FGG484C                U1                                12   7     20  20   7 L9        273 0 AGND                (95-13-13)
XC7A100T-2FGG484C                U1                                12   7     21  21   7 L10       274 0 VTTREF              (95-15-13)
XC7A100T-2FGG484C                U1                                12   7     22  22   7 M9        295 0 AGND                (95-13-13)
XC7A100T-2FGG484C                U1                                12   7     23  23   7 M10       296 0 AGND                (95-13-13)
XC7A100T-2FGG484C                U1                                13   8      1   1   8 A4         48 0 MGT_TX0_N           (2-335-13)
XC7A100T-2FGG484C                U1                                13   8      2   2   8 A6         50 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                13   8      3   3   8 A8         52 0 MGT_RX0_N           (2-343-13)
XC7A100T-2FGG484C                U1                                13   8      4   4   8 A10        54 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                13   8      5   5   8 B4         70 0 MGT_TX0_P           (2-336-13)
XC7A100T-2FGG484C                U1                                13   8      6   6   8 B5         71 0 1V2                 (95-2-13)
XC7A100T-2FGG484C                U1                                13   8      7   7   8 B6         72 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                13   8      8   8   8 B7         73 0 1V2                 (95-2-13)
XC7A100T-2FGG484C                U1                                13   8      9   9   8 B8         74 0 MGT_RX0_P           (2-344-13)
XC7A100T-2FGG484C                U1                                13   8     10  10   8 B9         75 0 1V2                 (95-2-13)
XC7A100T-2FGG484C                U1                                13   8     11  11   8 B10        76 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                13   8     12  12   8 B11        77 0 1V2                 (95-2-13)
XC7A100T-2FGG484C                U1                                13   8     13  13   8 C4         92 0 1V2                 (95-2-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
XC7A100T-2FGG484C                U1                                13   8     14  14   8 C5         93 0 MGT_TX1_N           (2-337-13)
XC7A100T-2FGG484C                U1                                13   8     15  15   8 C7         95 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                13   8     16  16   8 C8         96 0 1V2                 (95-2-13)
XC7A100T-2FGG484C                U1                                13   8     17  17   8 C9         97 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                13   8     18  18   8 C11        99 0 MGT_RX1_N           (2-345-13)
XC7A100T-2FGG484C                U1                                13   8     19  19   8 D5        115 0 MGT_TX1_P           (2-338-13)
XC7A100T-2FGG484C                U1                                13   8     20  20   8 D6        116 0 $6N81               (239-1-13)
XC7A100T-2FGG484C                U1                                13   8     21  21   8 D7        117 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                13   8     22  22   8 D9        119 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                13   8     23  23   8 D10       120 0 $6N81               (239-1-13)
XC7A100T-2FGG484C                U1                                13   8     24  24   8 D11       121 0 MGT_RX1_P           (2-346-13)
XC7A100T-2FGG484C                U1                                13   8     25  25   8 E6        138 0 MGT_CLK0_N          (95-5-13)
XC7A100T-2FGG484C                U1                                13   8     26  26   8 E8        140 0 $6N81               (239-1-13)
XC7A100T-2FGG484C                U1                                13   8     27  27   8 E10       142 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                13   8     28  28   8 F6        160 0 MGT_CLK0_P          (95-4-13)
XC7A100T-2FGG484C                U1                                13   8     29  29   8 F7        161 0 $6N81               (239-1-13)
XC7A100T-2FGG484C                U1                                13   8     30  30   8 F8        162 0 $6N391              (95-3-13)
XC7A100T-2FGG484C                U1                                13   8     31  31   8 F9        163 0 $6N81               (239-1-13)
XC7A100T-2FGG484C                U1                                13   8     32  32   8 F10       164 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                14   9      1   1   9 H12       210 0 1V8                 (95-20-13)
XC7A100T-2FGG484C                U1                                14   9      2   2   9 K12       254 0 1V8                 (95-20-13)
XC7A100T-2FGG484C                U1                                14   9      3   3   9 M12       298 0 1V8                 (95-20-13)
XC7A100T-2FGG484C                U1                                14   9      4   4   9 P12       342 0 1V8                 (95-20-13)
XC7A100T-2FGG484C                U1                                14   9      5   5   9 R11       363 0 1V8                 (95-20-13)
XC7A100T-2FGG484C                U1                                14   9      6   6   9 H8        206 0 1V0                 (188-25-13)
XC7A100T-2FGG484C                U1                                14   9      7   7   9 H10       208 0 1V0                 (188-25-13)
XC7A100T-2FGG484C                U1                                14   9      8   8   9 J7        227 0 1V0                 (188-25-13)
XC7A100T-2FGG484C                U1                                14   9      9   9   9 J9        229 0 1V0                 (188-25-13)
XC7A100T-2FGG484C                U1                                14   9     10  10   9 K8        250 0 1V0                 (188-25-13)
XC7A100T-2FGG484C                U1                                14   9     11  11   9 L7        271 0 1V0                 (188-25-13)
XC7A100T-2FGG484C                U1                                14   9     12  12   9 M8        294 0 1V0                 (188-25-13)
XC7A100T-2FGG484C                U1                                14   9     13  13   9 N7        315 0 1V0                 (188-25-13)
XC7A100T-2FGG484C                U1                                14   9     14  14   9 P8        338 0 1V0                 (188-25-13)
XC7A100T-2FGG484C                U1                                14   9     15  15   9 P10       340 0 1V0                 (188-25-13)
XC7A100T-2FGG484C                U1                                14   9     16  16   9 R7        359 0 1V0                 (188-25-13)
XC7A100T-2FGG484C                U1                                14   9     17  17   9 R9        361 0 1V0                 (188-25-13)
XC7A100T-2FGG484C                U1                                14   9     18  18   9 T8        382 0 1V0                 (188-25-13)
XC7A100T-2FGG484C                U1                                14   9     19  19   9 T10       384 0 1V0                 (188-25-13)
XC7A100T-2FGG484C                U1                                14   9     20  20   9 J11       231 0 1V0                 (188-25-13)
XC7A100T-2FGG484C                U1                                14   9     21  21   9 L11       275 0 1V0                 (188-25-13)
XC7A100T-2FGG484C                U1                                14   9     22  22   9 N11       319 0 1V0                 (188-25-13)
XC7A100T-2FGG484C                U1                                15  10      1   1  10 A2         46 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10      2   2  10 A3         47 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10      3   3  10 A5         49 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10      4   4  10 A7         51 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10      5   5  10 A9         53 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10      6   6  10 A11        55 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10      7   7  10 A12        56 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10      8   8  10 A22        66 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10      9   9  10 B3         69 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     10  10  10 B12        78 0 GND                 (2-3-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
XC7A100T-2FGG484C                U1                                15  10     11  11  10 B19        85 0 GND                 (2-3-13)
